Dataset Type,Size,Merge Sort Time (s),Merge Sort Memory (bytes),Quick Sort Time (s),Quick Sort Memory (bytes)
Sorted,1000,0.002808500000355707,20705,0.002400500000021566,25677
Reverse Sorted,1000,0.00293599999986327,20056,0.003485799999907613,25520
Random,1000,0.0066532000000734115,17232,0.009644299999763462,31520
Sorted,5000,0.02892520000023069,100056,0.020006799999919167,126400
Reverse Sorted,5000,0.040781199999855744,100056,0.021196299999701296,126512
Random,5000,0.04114100000015242,83864,0.0194405000002007,188112
Sorted,10000,0.041232900000068184,200056,0.028731800000059593,250120
Reverse Sorted,10000,0.055749399999967864,200056,0.03967139999986102,250232
Random,10000,0.078421900000194,168880,0.033763599999929284,412464
